source,target
2975,6384
2975,2975
2975,530
2975,1107983
2975,52057
2975,110380
2975,3084
2975,3087
2975,8349
2975,1776
2975,37872
2975,8328
2975,5141
2975,5139
2975,5140
6384,64
530,529
530,532
1107983,180659
1107983,1280183
1107983,181934
1107983,1165240
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,2803017
1107983,2954
1107983,33663
1107983,937663
1107983,1931175
1107983,1700943
1107983,938972
1107983,1236595
1107983,1209864
1107983,2685726
1107983,2764421
52057,8654
52057,104053
52057,2535
52057,225620
52057,109686
52057,1038
52057,4173
52057,349
110380,4587
110380,9780
110380,19011
110380,146687
110380,1122373
110380,1122374
110380,1122375
3084,9857
3084,5248
3084,1158
3084,18269
3084,82702
3084,65605
3084,47775
3084,4483
3084,13570
3084,3417
3087,3092
3087,12132
3087,2130
3087,106179
3087,10190
3087,5250
3087,3037
3087,4951
3087,8487
3087,8490
3087,6838
8349,3203
8349,7862
8349,11367
8349,31028
8349,3266
8349,36059
8349,26466
8349,5606
8349,1179102
8349,21010
8349,101032
8349,3248327
8349,1151688
8349,3264883
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,7796
8349,851784
8349,2641
8349,92029
8349,218506
8349,2098136
8349,2098137
1776,1
1776,7879
1776,2559324
1776,27888
1776,2303
1776,5293
1776,1032
1776,1150
1776,134
1776,1006721
8328,14782
8328,190
8328,147
8328,2378014
8328,2046262
8328,1381997
5141,11784
5141,78021
5141,16847
5141,2714
5141,67599
5141,1443708
5141,44038
5139,102429
5139,102334
5139,44762
5139,100360
5139,62596
5139,64722
5139,11357
5139,16178
5139,20903
5139,22082
5139,19506
5139,11770
5139,515
5139,43774
5139,99596
5139,61956
5140,113
5140,4955
5140,3027
5140,131120
64,1415341
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,10980
64,10989
64,10990
64,219479
64,1101349
529,46300
529,27889
529,1331
532,7187
532,57371
532,3034
180659,1408141
181934,54422
181934,2391
181934,3635
2787630,1386798
2787630,100709
2787630,21111
2787630,2802990
2787630,2803001
2787630,13348
89289,117418
89289,1188876
89289,61399
89289,1232728
89289,1723195
73988,1050881
73988,1152
73988,3331792
73988,57738
73988,1141815
73988,1074129
73988,2066306
73988,173729
2954,25072
2954,3910
2954,1241
2954,72129
2954,10943
33663,1072882
33663,1987684
33663,1145892
33663,1167702
33663,1167703
33663,557911
33663,16214
33663,227811
33663,1222706
33663,1748
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,1116399
33663,102786
33663,18802
33663,112219
33663,56446
33663,1200537
33663,1816204
33663,1816207
33663,151043
33663,77120
33663,2569912
33663,2601848
33663,1173567
