name,category,playtime,playtime_num,avg_rating,num_ratings,min_players,,,,,,,,,
Citadels,Bluffing,"(30, 60]",60,7.10124,46905,2,,,,,Solo Supported,Solo Not Supported,,,
Dead of Winter: A Crossroads Game,Bluffing,>90,120,7.67747,37602,2,,,Number of Games in Category,Bluffing,0,47,,,
The Resistance,Bluffing,<=30,30,7.33418,34774,5,,,,Deduction,3,19,,,
Battlestar Galactica: The Board Game,Bluffing,>90,300,7.74082,32005,3,,,,Economic,23,65,,,
Coup,Bluffing,<=30,15,7.03729,33927,2,,,,Fighting,21,48,,,
Android: Netrunner,Bluffing,"(30, 60]",45,7.89668,26001,2,,,,Party Game,1,17,,,
A Game of Thrones: The Board Game (Second Edition),Bluffing,>90,240,7.6607,27362,3,,,Most Representative Game,Bluffing,N/A,Citadels,,,
Cosmic Encounter,Bluffing,>90,120,7.55528,26335,3,,,,Deduction,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Codenames,,,
Sheriff of Nottingham,Bluffing,"(30, 60]",60,7.21073,28017,3,,,,Economic,Agricola,Puerto Rico,,,
Shadows over Camelot,Bluffing,"(60, 90]",80,7.13334,24892,3,,,,Fighting,Arkham Horror,Small World,,,
BANG!,Bluffing,"(30, 60]",40,6.52314,25506,4,,,,Party Game,Jenga,Dixit,,,
The Resistance: Avalon,Bluffing,<=30,30,7.62483,25833,5,,,Average Category Game Rating,Bluffing,0.00,7.12,,,
Saboteur,Bluffing,<=30,30,6.60249,24198,3,,,,Deduction,7.84,7.28,,,
Star Wars: X-Wing Miniatures Game,Bluffing,"(30, 60]",45,7.75976,22459,2,,,,Economic,7.95,7.49,,,
Survive: Escape from Atlantis!,Bluffing,"(30, 60]",60,7.30851,19404,2,,,,Fighting,7.52,7.40,,,
One Night Ultimate Werewolf,Bluffing,<=30,10,7.21336,20142,3,,,,Party Game,5.58,6.54,,,
BANG! The Dice Game,Bluffing,<=30,15,6.99031,18715,3,,,Average Category Playtime,Bluffing,0.00,68.19,,,
Spyfall,Bluffing,<=30,15,6.9856,17441,3,,,,Deduction,110.00,55.89,,,
Clue,Bluffing,"(30, 60]",45,5.65866,16735,3,,,,Economic,126.52,105.92,,,
Diamant,Bluffing,<=30,30,6.83112,16269,3,,,,Fighting,113.33,103.75,,,
Stratego,Bluffing,"(30, 60]",45,6.07098,13254,2,,,,Party Game,20.00,36.18,,,
Wits & Wagers,Bluffing,<=30,25,6.94676,12917,3,,,shayden33,,,,,,
Letters from Whitechapel,Bluffing,"(30, 60]",60,7.43459,13173,2,,,,,,,,,
Secret Hitler,Bluffing,"(30, 60]",45,7.58786,16293,5,,,,,,,,,
Diplomacy,Bluffing,>90,360,7.05243,11810,2,,,,,,,,,
Liar's Dice,Bluffing,<=30,30,6.91821,12127,2,,,,,,,,,
Deception: Murder in Hong Kong,Bluffing,<=30,20,7.53145,14670,4,,,,,,,,,
Rising Sun,Bluffing,>90,120,8.00452,14439,3,,,,,,,,,
Ca$h 'n Guns (Second Edition),Bluffing,<=30,30,6.9594,12009,4,,,,,,,,,
A Game of Thrones (First Edition),Bluffing,>90,180,7.24611,10068,3,,,,,,,,,
Skull,Bluffing,"(30, 60]",45,7.17317,12818,3,,,,,,,,,
Ca$h 'n Gun$,Bluffing,<=30,30,6.60914,9649,4,,,,,,,,,
Welcome to the Dungeon,Bluffing,<=30,30,6.65729,11065,2,,,,,,,,,
